id,name_en,name_es,category_en,category_es,photos,condition,dimensions_cm,size_label,price,status,pickup,notes_en,notes_es
lampara-velador,Bedside lamps (pair),Lámparas de velador (par),Lighting,Iluminación,"lampara-velador/1.jpg,lampara-velador/2.jpg",good,11 x 11 x 36,,25,available,coordinate,Pair of bedside lamps with wood base and linen cylinder shade. Touch controls and a built-in port to charge your devices.,Par de lámparas de velador con base de madera y pantalla cilíndrica de lino. Control táctil y puerto integrado para cargar dispositivos.
cuadro-washington,Framed Oregon & Washington map print,Cuadro mapa Oregon y Washington,Wall art,Cuadros,cuadro-washington/1.jpg,like_new,,medium,30,available,coordinate,Vintage-style territorial map print in a black frame with glass.,Lámina de mapa territorial estilo vintage en marco negro con vidrio.
cuadro-circulos,Framed gradient prints (pair),Cuadros degradé (par),Wall art,Cuadros,cuadro-circulos/1.jpg,like_new,,medium,35,available,coordinate,"Pair of framed prints, ""Luck"" and ""Intuition"", black frames with mats.","Par de cuadros enmarcados, ""Luck"" e ""Intuition"", marcos negros con passepartout."
cuadros-dia-y-noche,Day & night framed prints (pair),Cuadros día y noche (par),Wall art,Cuadros,"cuadros-dia-y-noche/1.jpg,cuadros-dia-y-noche/2.jpg",like_new,61 x 41,,22,available,coordinate,"Matching pair of sun and moon landscape prints in light wood frames, 24 x 16 in each.","Par de cuadros a juego con paisaje de sol y de luna en marcos de madera clara, 61 x 41 cm cada uno."
roomba,iRobot Roomba i-series with self-empty base,iRobot Roomba serie i con base autovaciado,Appliances,Electrodomésticos,"roomba/1.jpg,roomba/2.jpg,roomba/3.jpg,roomba/4.jpg",good,,medium,100,available,coordinate,Robot vacuum with self-emptying charging base. Works well.,Robot aspirador con base de carga y autovaciado. Funciona bien.
aspiradora,Stick vacuum,Aspiradora vertical,Appliances,Electrodomésticos,aspiradora/1.jpg,good,,medium,25,available,coordinate,Lightweight corded stick vacuum.,Aspiradora vertical liviana con cable.
plancha-grande,Black+Decker steam iron,Plancha a vapor Black+Decker,Appliances,Electrodomésticos,"plancha-grande/1.jpg,plancha-grande/2.jpg",good,,small,10,available,coordinate,Full-size steam iron. Works fine.,Plancha a vapor de tamaño normal. Funciona bien.
plancha-chica,YIKA handheld steam iron,Plancha a vapor de mano YIKA,Appliances,Electrodomésticos,"plancha-chica/1.jpg,plancha-chica/2.jpg",good,17 x 14,,15,available,coordinate,"YIKA 1200 W handheld steam iron with base. Anti-drip, rapid heating, non-stick soleplate, works vertically for hanging clothes.","Plancha a vapor de mano YIKA de 1200 W con base. Antigoteo, calentado rápido, suela antiadherente, funciona en vertical para ropa colgada."
tetera,Comfee glass electric kettle,Hervidor eléctrico de vidrio Comfee,Appliances,Electrodomésticos,tetera/1.jpg,good,,small,12,available,coordinate,1.7L glass electric kettle.,Hervidor eléctrico de vidrio de 1.7L.
escoba,Broom and dustpan set,Escoba y pala,Home,Hogar,escoba/1.jpg,good,,medium,7,available,coordinate,Standing broom with matching clip-on dustpan.,Escoba con pala a juego que se engancha al mango.
tazas,Crate & Barrel Verge mugs (set of 6),Tazas Crate & Barrel Verge (juego de 6),Kitchen,Cocina,"tazas/1.jpg,tazas/2.jpg,tazas/3.jpg",good,,small,17,available,coordinate,"Six white porcelain latte mugs, Crate & Barrel Verge. Take all 34 pieces of the Verge dinnerware for $80.","Seis tazas de porcelana blanca, Crate & Barrel Verge. Llévate las 34 piezas de la vajilla Verge por $80."
vasos,Crate & Barrel Felton tumblers (set of 4),Vasos Crate & Barrel Felton (juego de 4),Kitchen,Cocina,vasos/1.jpg,good,,small,15,available,coordinate,Four Crate & Barrel Felton double old-fashioned glasses.,Cuatro vasos Crate & Barrel Felton double old-fashioned.
platos-grandes,Crate & Barrel Verge dinner plates (set of 8),Platos grandes Crate & Barrel Verge (juego de 8),Kitchen,Cocina,"platos-grandes/1.jpg,platos-grandes/2.jpg,platos-grandes/3.jpg",good,,medium,25,available,coordinate,"Eight white porcelain dinner plates, Crate & Barrel Verge. Take all 34 pieces of the Verge dinnerware for $80.","Ocho platos grandes de porcelana blanca, Crate & Barrel Verge. Llévate las 34 piezas de la vajilla Verge por $80."
platos-chicos,Crate & Barrel Verge side plates (set of 6),Platos chicos Crate & Barrel Verge (juego de 6),Kitchen,Cocina,"platos-chicos/1.jpg,platos-chicos/2.jpg,platos-chicos/3.jpg",good,,small,17,available,coordinate,"Six white porcelain side plates, Crate & Barrel Verge. Take all 34 pieces of the Verge dinnerware for $80.","Seis platos chicos de porcelana blanca, Crate & Barrel Verge. Llévate las 34 piezas de la vajilla Verge por $80."
platos-hondos,Crate & Barrel Verge pasta bowls (set of 6),Platos hondos Crate & Barrel Verge (juego de 6),Kitchen,Cocina,platos-hondos/1.jpg,good,,medium,20,available,coordinate,"Six white porcelain pasta bowls, Crate & Barrel Verge. All six are included; one is not in the photo. All in perfect condition. Take all 34 pieces of the Verge dinnerware for $80.","Seis platos hondos de porcelana blanca, Crate & Barrel Verge. Van los seis; uno no sale en la foto. Todos en perfecto estado. Llévate las 34 piezas de la vajilla Verge por $80."
bowls-grandes,DOWAN serving bowls (set of 2),Bowls de servir DOWAN (juego de 2),Kitchen,Cocina,"bowls-grandes/1.jpg,bowls-grandes/2.jpg",good,,medium,18,available,coordinate,"Two DOWAN 9.6 in / 70 oz serving bowls for salad, pasta or fruit, in black and red geometric patterns.","Dos bowls de servir DOWAN de 24 cm / 2 L para ensalada, pasta o fruta, con estampado geométrico negro y rojo."
dippers,DELLING ceramic dipping bowls (set of 6),Bowls de cerámica DELLING para salsas (juego de 6),Kitchen,Cocina,"dippers/1.jpg,dippers/2.jpg",good,7.6 x 3.5,small,8,available,coordinate,"DELLING 3 oz porcelain dipping bowls, set of 6. Dishwasher safe.","Bowls de porcelana DELLING de 3 oz, juego de 6. Aptos para lavavajillas."
cooking-dishware,Sweejar ceramic baking dishes (set of 3),Fuentes de cerámica Sweejar (juego de 3),Kitchen,Cocina,"cooking-dishware/1.jpg,cooking-dishware/2.jpg,cooking-dishware/3.jpg",good,30 x 20 x 7,,22,available,coordinate,"Three nesting Sweejar ceramic lasagna / baking dishes with handles, red exterior. Largest is 11.8 x 7.8 x 2.75 in. Oven safe.","Tres fuentes de cerámica Sweejar apilables con asas, exterior rojo. La más grande mide 30 x 20 x 7 cm. Aptas para horno."
tupper-grande,Bayco glass meal prep containers (6 with lids),Tuppers de vidrio Bayco (6 con tapa),Kitchen,Cocina,tupper-grande/1.jpg,good,,medium,17,available,coordinate,"Six Bayco glass food storage containers with six airtight, leak-proof lids. Oven, microwave and dishwasher safe.","Seis tuppers de vidrio Bayco con seis tapas herméticas a prueba de derrames. Aptos para horno, microondas y lavavajillas."
tupper-chico,Rubbermaid Brilliance containers (10 with lids),Tuppers Rubbermaid Brilliance (10 con tapa),Kitchen,Cocina,tupper-chico/1.jpg,good,,small,15,available,coordinate,"Ten Rubbermaid Brilliance 1.3 cup containers with leak-proof lids, two 5-packs. BPA-free, microwave and dishwasher safe.","Diez tuppers Rubbermaid Brilliance de 300 ml con tapas a prueba de derrames, dos packs de 5. Sin BPA, aptos para microondas y lavavajillas."
condimentero,Revolving 16-jar spice rack,Especiero giratorio de 16 frascos,Kitchen,Cocina,"condimentero/1.jpg,condimentero/2.jpg",good,,small,20,available,coordinate,Stainless steel carousel spice rack with labelled jars.,Especiero carrusel de acero inoxidable con frascos etiquetados.
aceite-y-sal,Oil & vinegar bottles with salt and pepper shakers,Aceiteras con salero y pimentero,Kitchen,Cocina,aceite-y-sal/1.jpg,good,,small,10,available,coordinate,Two glass pour bottles in a wire caddy plus stainless shakers.,Dos botellas de vidrio con vertedor en soporte metálico más salero y pimentero de acero.
paddleboard,FBSPORT inflatable paddleboard,Paddleboard inflable FBSPORT,Outdoor,Aire libre,paddleboard/1.jpg,good,,large,140,available,pickup,Inflatable SUP in its wheeled carry backpack.,SUP inflable en su mochila de transporte con ruedas.
river-donut,Intex River Run 1 float,Flotador Intex River Run 1,Outdoor,Aire libre,river-donut/1.jpg,new,,large,20,available,coordinate,Inflatable river tube. Unopened in original box (box is a bit worn).,Flotador inflable para río. Sin abrir en su caja original (la caja está algo maltratada).
planta-dracaena,Dracaena floor plant,Planta dracaena de piso,Plants,Plantas,plantas/1.jpg,good,,large,0,available,pickup,Large floor plant in woven basket pot with stand. Free — message me and I'll pick a good home for it.,Planta grande de piso en macetero de fibra tejida con pedestal. Gratis — escribime y elijo a quién dárselo.
planta-jade,Jade plant,Planta de jade,Plants,Plantas,plantas/4.jpg,good,,medium,0,available,coordinate,Mature jade plant in a white ceramic pot with saucer. Free — message me and I'll pick a good home for it.,Planta de jade grande en maceta de cerámica blanca con plato. Gratis — escribime y elijo a quién dárselo.
planta-haworthia,Haworthia zebra succulent,Suculenta haworthia cebra,Plants,Plantas,plantas/2.jpg,good,,small,0,available,coordinate,Zebra haworthia in terracotta pot with saucer. Free — message me and I'll pick a good home for it.,Haworthia cebra en maceta de terracota con plato. Gratis — escribime y elijo a quién dárselo.
planta-suculenta,Blue succulent in ceramic bowl,Suculenta en bowl de cerámica,Plants,Plantas,plantas/5.jpg,good,,small,0,available,coordinate,Pale blue-green succulent in a grey glazed bowl with terracotta saucer. Free — message me and I'll pick a good home for it.,Suculenta verde azulada en bowl gris esmaltado con plato de terracota. Gratis — escribime y elijo a quién dárselo.
planta-string,Trailing string plant,Planta colgante,Plants,Plantas,plantas/3.jpg,good,,small,0,available,coordinate,Long trailing vine in a white pot. Very healthy. Free — message me and I'll pick a good home for it.,Enredadera colgante larga en maceta blanca. Muy sana. Gratis — escribime y elijo a quién dárselo.
planta-alocasia,Alocasia,Alocasia,Plants,Plantas,plantas/7.jpg,good,,small,0,available,coordinate,Small alocasia with dark veined leaves in a white pot. Free — message me and I'll pick a good home for it.,Alocasia pequeña de hojas oscuras con nervaduras en maceta blanca. Gratis — escribime y elijo a quién dárselo.
planta-pilea,Pilea and pothos,Pilea y potus,Plants,Plantas,plantas/6.jpg,good,,medium,0,available,coordinate,Pilea peperomioides and a trailing pothos. Pots included. Free — message me and I'll pick a good home for it.,Pilea peperomioides y un potus colgante. Macetas incluidas. Gratis — escribime y elijo a quién dárselo.
alfombra-azul,Blue Moroccan area rug,Alfombra azul marroquí,Home,Hogar,"alfombra-azul/2.jpg,alfombra-azul/1.jpg",good,229 x 160,large,60,available,pickup,"Blue and cream Moroccan-pattern rug, 7.5 x 5.25 ft. Second photo is the manufacturer diagram.","Alfombra con diseño marroquí azul y crudo, 229 x 160 cm. La segunda foto es el diagrama del fabricante."
alfombra-cafe,Natural woven area rug,Alfombra beige tejida,Home,Hogar,alfombra-cafe/1.jpg,good,,large,35,available,pickup,"Flatweave rug in natural beige. Neutral, goes with anything.","Alfombra plana en beige natural. Neutra, combina con todo."
bowls,Crate & Barrel Verge cereal bowls (set of 8),Bowls de cereal Crate & Barrel Verge (juego de 8),Kitchen,Cocina,"bowls/1.jpg,bowls/2.jpg",fair,,small,15,available,coordinate,"Eight white porcelain cereal bowls, Crate & Barrel Verge. Two of the eight have small chips, the other six are perfect. Take all 34 pieces of the Verge dinnerware for $80.","Ocho bowls de cereal de porcelana blanca, Crate & Barrel Verge. Dos de los ocho tienen pequeños desportillados, los otros seis están perfectos. Llévate las 34 piezas de la vajilla Verge por $80."
cooking-bowls,Bellemain stainless mixing bowls with airtight lids (set of 3),Bowls de acero Bellemain con tapa hermética (juego de 3),Kitchen,Cocina,cooking-bowls/1.jpg,good,,medium,12,available,coordinate,"Three nesting Bellemain stainless steel mixing bowls in 1.5, 3 and 5 quart, each with an airtight lid.","Tres bowls de acero inoxidable Bellemain apilables de 1.4, 2.8 y 4.7 litros, cada uno con tapa hermética."
servicios,Henckels flatware set + serving utensils,Cubiertos Henckels + utensilios de servir,Kitchen,Cocina,servicios/1.jpg,good,,medium,45,available,coordinate,"Henckels stainless flatware service plus serving spoons, fork, ladle and measuring spoons.","Cubiertos de acero Henckels más cucharas de servir, tenedor, cucharón y cucharas medidoras."
separador-servicios,Expandable bamboo cutlery drawer organizer,Organizador de cubiertos de bambú extensible,Kitchen,Cocina,separador-servicios/1.jpg,good,,medium,10,available,coordinate,Bamboo drawer tray with adjustable width. Cutlery not included.,"Bandeja de bambú para cajón, de ancho ajustable. Cubiertos no incluidos."
individuales,Woven placemats (set of 6),Individuales tejidos (juego de 6),Kitchen,Cocina,"individuales/1.jpg,individuales/2.jpg",good,,small,8,available,coordinate,"Neutral woven vinyl placemats, wipe clean.","Individuales de vinilo tejido en tono neutro, se limpian con un paño."
coasters,Patterned coasters (set of 10),Posavasos estampados (juego de 10),Kitchen,Cocina,"coasters/1.jpg,coasters/2.jpg",like_new,,small,8,available,coordinate,"Round coasters in a terracotta, navy and cream abstract pattern.","Posavasos redondos con diseño abstracto en terracota, azul marino y crudo."
tostador,Mueller 4-slice long-slot toaster,Tostador Mueller de 4 rebanadas,Appliances,Electrodomésticos,"tostador/1.jpg,tostador/2.jpg,tostador/3.jpg",good,40 x 16 x 18,,18,available,coordinate,"Mueller stainless long-slot toaster, 4 slices, digital controls and countdown display. Works well; some staining on the stainless.","Tostador Mueller de acero con ranuras largas, 4 rebanadas, controles digitales y cuenta regresiva. Funciona bien; tiene algunas manchas en el acero."
utiles-cocina,Kitchen gadget lot,Lote de utensilios de cocina,Kitchen,Cocina,utiles-cocina/1.jpg,good,,small,15,available,coordinate,"Measuring cups and spoons, peeler, can opener, corkscrew, citrus press, ice cream scoop, jar opener, funnel and more.","Tazas y cucharas medidoras, pelador, abrelatas, descorchador, exprimidor, cuchara de helado, abre-frascos, embudo y más."
pizza-matt-and-roller,Walfos rolling pin + silicone pastry mat,Uslero Walfos + lámina de silicona,Kitchen,Cocina,pizza-matt-and-roller/1.jpg,like_new,,medium,8,available,coordinate,"Walfos non-stick beech wood French rolling pin, 15.7 in, with a silicone pastry mat with measurement guides. For pie crust, cookies, pasta or pizza dough. Very good condition.","Uslero francés Walfos de madera de haya antiadherente, de 40 cm, con lámina de silicona con guías de medida. Para masa de tarta, galletas, pasta o pizza. Muy buen estado."
splash-stopper,Splatter screen,Cubre sartén anti-salpicaduras,Kitchen,Cocina,splash-stopper/1.jpg,good,,small,5,available,coordinate,Stainless mesh splatter guard with folding handle.,Malla de acero anti-salpicaduras con mango plegable.
